TransactionID,CustomerID,ProductID,Timestamp,Quantity,UnitPrice,TotalPrice,PaymentMethod,Discount,Tax,OrderStatus
69,315,P0125,2023-09-19,3,1001.31,3003.93,Debit Card,0.0,240.31,Completed
70,124,P0869,2023-06-19,3,1782.39,5347.16,Cash,0.05,427.77,Completed
71,59,P0431,2023-03-18,2,809.49,1618.98,Cash,0.0,129.52,Completed
72,165,P0489,2023-03-10,1,1087.9,1087.9,Credit Card,0.0,87.03,Completed
73,354,P0416,2024-07-07,1,429.52,429.52,Debit Card,0.0,34.36,Completed
74,300,P0139,2024-06-16,3,1112.41,3337.24,PayPal,0.0,266.98,Completed
75,397,P0111,2024-04-27,2,1003.35,2006.7,Credit Card,0.0,160.54,Completed
76,214,P0761,2023-04-14,4,1260.29,5041.15,Credit Card,0.0,403.29,Completed
77,145,P0613,2024-05-31,4,1818.54,7274.15,PayPal,0.0,581.93,Pending
78,310,P0685,2023-09-24,3,1746.44,5239.32,PayPal,0.0,419.15,Completed
79,465,P0184,2024-05-31,4,960.23,3840.9,Debit Card,0.0,307.27,Completed
80,154,P0304,2023-05-27,4,992.64,3970.58,PayPal,0.1,317.65,Completed
81,102,P0587,2023-08-16,1,1147.29,1147.29,PayPal,0.0,91.78,Completed
82,242,P0465,2024-05-13,3,1794.18,5382.55,Cash,0.0,430.6,Completed
83,163,P0048,2023-12-31,3,263.07,789.2,Credit Card,0.1,63.14,Completed
84,63,P0806,2023-05-27,3,924.22,2772.67,Debit Card,0.0,221.81,Completed
85,114,P0480,2024-12-20,2,1391.06,2782.12,Debit Card,0.05,222.57,Completed
86,126,P0277,2023-11-16,4,1648.61,6594.42,PayPal,0.0,527.55,Completed
87,222,P0303,2023-02-26,3,1995.75,5987.25,Credit Card,0.05,478.98,Completed
88,135,P0579,2024-06-25,1,716.48,716.48,PayPal,0.05,57.32,Completed
89,389,P0188,2024-10-09,4,1627.91,6511.63,PayPal,0.1,520.93,Completed
90,23,P0265,2023-04-14,2,201.42,402.83,Debit Card,0.0,32.23,Completed
91,355,P0584,2023-03-16,3,1282.58,3847.73,Cash,0.0,307.82,Completed
92,83,P0123,2024-07-26,2,634.15,1268.31,PayPal,0.0,101.46,Completed
93,144,P0358,2024-01-15,4,333.13,1332.53,Cash,0.05,106.6,Completed
94,290,P0295,2024-05-22,3,1616.79,4850.37,Debit Card,0.15,388.03,Completed
95,221,P0231,2024-09-21,1,1692.35,1692.35,Debit Card,0.0,135.39,Failed
96,403,P0053,2024-06-16,3,1313.24,3939.73,Credit Card,0.0,315.18,Completed
97,446,P0074,2024-06-27,2,1651.79,3303.58,Cash,0.0,264.29,Completed
98,178,P0412,2023-01-14,2,1653.94,3307.89,Debit Card,0.1,264.63,Completed
99,205,P0059,2023-09-17,3,1455.28,4365.83,PayPal,0.0,349.27,Completed
100,127,P0075,2023-12-20,1,1509.86,1509.86,PayPal,0.0,120.79,Completed
101,274,P0096,2023-06-03,2,1428.6,2857.21,Debit Card,0.0,228.58,Completed
102,325,P0940,2024-01-25,1,211.3,211.3,Credit Card,0.15,16.9,Completed
103,137,P0923,2024-10-20,2,661.03,1322.06,PayPal,0.1,105.76,Pending
104,177,P0198,2023-03-24,4,1875.83,7503.31,Credit Card,0.05,600.26,Completed
105,413,P0929,2023-08-06,4,1283.79,5135.15,Debit Card,0.05,410.81,Completed
106,405,P0235,2024-12-25,1,406.47,406.47,PayPal,0.0,32.52,Failed
107,281,P0606,2024-03-06,1,255.46,255.46,Cash,0.1,20.44,Failed
108,304,P0871,2023-04-11,4,1738.35,6953.4,Cash,0.0,556.27,Completed
109,236,P0873,2023-08-15,4,1724.97,6899.86,Credit Card,0.0,551.99,Completed
110,386,P0528,2023-01-31,1,1331.84,1331.84,Cash,0.0,106.55,Completed
111,109,P0855,2023-04-10,1,120.08,120.08,Cash,0.0,9.61,Completed
112,3,P0028,2023-10-01,2,1307.42,2614.85,Cash,0.0,209.19,Completed
113,356,P0533,2023-03-06,4,133.86,535.45,Credit Card,0.05,42.84,Completed
114,53,P0044,2024-10-11,3,1679.19,5037.56,Credit Card,0.0,403.0,Pending
115,138,P0675,2024-02-02,1,1485.59,1485.59,Cash,0.0,118.85,Completed
116,29,P0171,2024-06-19,1,1928.82,1928.82,Debit Card,0.0,154.31,Completed
117,156,P0784,2023-04-29,3,478.62,1435.86,Cash,0.0,114.87,Completed
118,170,P0699,2024-11-23,3,1623.95,4871.86,Debit Card,0.0,389.75,Completed
119,153,P0033,2024-05-15,3,1060.02,3180.07,Debit Card,0.0,254.41,Completed
120,43,P0373,2024-12-20,4,1119.34,4477.38,PayPal,0.1,358.19,Completed
121,264,P0225,2023-11-27,3,1571.73,4715.2,Debit Card,0.0,377.22,Completed
122,195,P0925,2024-09-07,1,1877.89,1877.89,Credit Card,0.05,150.23,Completed
123,428,P0218,2024-04-15,4,1917.69,7670.76,Credit Card,0.15,613.66,Completed
124,331,P0143,2024-03-09,4,197.43,789.72,PayPal,0.0,63.18,Completed
125,362,P0441,2023-07-18,2,1702.03,3404.06,PayPal,0.0,272.32,Completed
126,456,P0360,2024-11-23,4,806.92,3227.69,PayPal,0.05,258.22,Completed
127,52,P0102,2024-11-17,4,1463.71,5854.85,PayPal,0.0,468.39,Completed
128,282,P0753,2023-08-30,2,65.29,130.58,PayPal,0.05,10.45,Completed
129,434,P0422,2024-11-03,3,1534.12,4602.37,Debit Card,0.0,368.19,Completed
130,390,P0294,2024-03-28,2,1623.58,3247.17,Debit Card,0.0,259.77,Completed
131,222,P0003,2023-08-11,2,1734.73,3469.45,Credit Card,0.0,277.56,Completed
132,209,P0752,2023-06-10,3,1596.63,4789.89,Cash,0.1,383.19,Completed
133,272,P0580,2024-11-11,3,1021.56,3064.68,PayPal,0.0,245.17,Failed
134,139,P0357,2023-11-28,1,1842.81,1842.81,Debit Card,0.0,147.42,Completed
135,390,P0260,2023-06-03,4,1595.56,6382.24,Debit Card,0.15,510.58,Completed
136,336,P0450,2023-09-02,2,1526.75,3053.51,Cash,0.0,244.28,Completed
137,94,P0833,2024-05-09,3,1349.87,4049.61,Cash,0.0,323.97,Completed
138,86,P0044,2023-04-03,1,1679.05,1679.05,Cash,0.1,134.32,Pending
139,171,P0981,2023-09-12,4,1625.75,6503.02,PayPal,0.0,520.24,Completed
140,278,P0613,2024-08-25,3,106.88,320.64,Credit Card,0.0,25.65,Completed
141,438,P0760,2023-09-22,3,1843.09,5529.26,Cash,0.2,442.34,Completed
142,241,P0835,2023-11-23,4,226.91,907.63,PayPal,0.0,72.61,Failed
143,346,P0718,2024-08-25,1,1585.72,1585.72,Cash,0.0,126.86,Completed
144,324,P0961,2023-03-23,2,1809.36,3618.72,Cash,0.1,289.5,Completed
145,315,P0715,2023-09-23,1,125.91,125.91,Credit Card,0.0,10.07,Completed
146,197,P0256,2024-08-02,3,1148.48,3445.45,Cash,0.0,275.64,Completed
147,109,P0700,2024-02-07,3,1793.48,5380.45,Cash,0.15,430.44,Completed
148,132,P0791,2024-04-06,2,1783.33,3566.66,Credit Card,0.0,285.33,Completed
149,368,P0147,2024-07-06,4,1717.31,6869.24,Credit Card,0.0,549.54,Completed
150,483,P0421,2023-09-28,1,848.35,848.35,Cash,0.1,67.87,Completed
151,482,P0989,2023-06-13,4,737.58,2950.3,Debit Card,0.1,236.02,Completed
152,181,P0248,2024-04-15,4,879.19,3516.78,Debit Card,0.0,281.34,Completed
153,313,P0509,2024-11-11,1,169.6,169.6,Credit Card,0.0,13.57,Failed
154,103,P0934,2024-01-26,1,642.69,642.69,PayPal,0.0,51.42,Completed
155,499,P0511,2023-02-07,4,1496.7,5986.79,PayPal,0.1,478.94,Completed
156,190,P0869,2024-06-25,1,542.99,542.99,Credit Card,0.0,43.44,Completed
157,47,P0886,2024-01-14,4,1970.47,7881.9,Credit Card,0.1,630.55,Completed
158,59,P0799,2023-09-29,2,1433.18,2866.35,PayPal,0.0,229.31,Completed
159,480,P0010,2024-10-12,2,567.39,1134.77,Cash,0.05,90.78,Completed
160,405,P0869,2024-09-26,2,1572.43,3144.85,PayPal,0.05,251.59,Completed
161,383,P0088,2024-05-03,2,1409.56,2819.12,PayPal,0.05,225.53,Completed
162,378,P0167,2024-02-11,1,1730.3,1730.3,PayPal,0.0,138.42,Completed
163,141,P0582,2023-03-14,2,1347.04,2694.07,Credit Card,0.0,215.53,Completed
164,368,P0175,2023-03-17,1,1896.83,1896.83,PayPal,0.0,151.75,Completed
165,32,P0864,2023-04-10,4,1817.82,7271.26,PayPal,0.0,581.7,Completed
166,78,P0826,2024-05-02,1,1942.0,1942.0,Cash,0.0,155.36,Completed
167,339,P0193,2023-06-17,1,1450.99,1450.99,Credit Card,0.1,116.08,Failed
168,147,P0716,2024-04-27,4,306.84,1227.38,Cash,0.1,98.19,Completed
169,151,P0514,2024-03-03,4,1642.0,6568.0,Cash,0.0,525.44,Completed
170,451,P0626,2024-01-10,4,1964.72,7858.86,Cash,0.05,628.71,Completed
171,481,P0113,2023-05-04,4,610.88,2443.54,PayPal,0.0,195.48,Completed
172,5,P0569,2023-04-07,4,838.83,3355.31,PayPal,0.0,268.43,Completed
173,368,P0489,2023-02-19,3,1371.2,4113.61,Debit Card,0.0,329.09,Completed
174,289,P0141,2024-03-27,4,1359.38,5437.54,Debit Card,0.05,435.0,Completed
175,310,P0477,2023-05-08,4,1981.21,7924.82,PayPal,0.0,633.99,Completed
176,392,P0218,2024-07-22,2,1061.47,2122.93,Debit Card,0.0,169.83,Completed
177,318,P0681,2024-02-16,1,420.14,420.14,Credit Card,0.0,33.61,Completed
178,71,P0387,2023-07-23,2,1057.74,2115.48,Debit Card,0.05,169.24,Completed
179,166,P0022,2024-08-08,2,1227.09,2454.19,Credit Card,0.0,196.33,Pending
180,475,P0553,2023-01-20,2,1406.81,2813.61,PayPal,0.0,225.09,Completed
181,309,P0802,2024-02-18,2,1931.78,3863.56,Debit Card,0.0,309.08,Completed
182,48,P0326,2023-12-18,1,1075.22,1075.22,Debit Card,0.0,86.02,Completed
183,83,P0154,2023-03-06,1,351.92,351.92,Debit Card,0.15,28.15,Pending
184,278,P0868,2023-09-05,2,778.43,1556.86,Credit Card,0.0,124.55,Completed
185,7,P0817,2023-03-09,1,928.0,928.0,Cash,0.2,74.24,Completed
186,106,P0928,2023-02-15,4,468.6,1874.41,Debit Card,0.05,149.95,Completed
187,178,P0419,2023-02-23,4,1509.35,6037.4,Cash,0.15,482.99,Completed
188,93,P0379,2024-10-05,1,904.85,904.85,Cash,0.2,72.39,Completed
189,41,P0170,2024-01-12,2,1442.4,2884.81,Credit Card,0.0,230.78,Completed
190,480,P0436,2023-04-21,3,107.53,322.6,Debit Card,0.0,25.81,Completed
191,203,P0061,2023-10-23,2,1478.83,2957.66,PayPal,0.05,236.61,Completed
192,304,P0503,2024-08-28,2,1775.68,3551.36,Cash,0.0,284.11,Pending
193,174,P0387,2024-08-11,2,1051.54,2103.08,PayPal,0.0,168.25,Completed
194,494,P0490,2024-11-21,1,1845.49,1845.49,Credit Card,0.0,147.64,Completed
195,37,P0649,2024-11-24,2,1585.4,3170.81,Credit Card,0.0,253.66,Completed
196,188,P0742,2023-05-03,2,1023.89,2047.78,PayPal,0.0,163.82,Pending
197,18,P0866,2023-04-02,3,620.15,1860.44,Credit Card,0.0,148.84,Completed
198,256,P0135,2023-08-02,1,965.57,965.57,Cash,0.0,77.25,Completed
199,462,P0934,2023-01-03,2,847.12,1694.23,Credit Card,0.15,135.54,Completed
200,497,P0714,2024-10-06,4,1345.23,5380.91,Credit Card,0.1,430.47,Completed
201,291,P0964,2024-08-17,1,65.53,65.53,PayPal,0.15,5.24,Completed
202,153,P0277,2024-06-18,1,739.89,739.89,Credit Card,0.1,59.19,Completed
203,55,P0864,2024-06-27,1,687.15,687.15,Debit Card,0.0,54.97,Completed
204,369,P0213,2023-04-07,1,815.82,815.82,PayPal,0.0,65.27,Completed
205,118,P0261,2024-02-29,2,1774.53,3549.07,Cash,0.0,283.93,Completed
206,457,P0285,2024-12-26,3,1363.61,4090.83,Debit Card,0.0,327.27,Completed
207,407,P0045,2024-09-15,1,1494.22,1494.22,Credit Card,0.1,119.54,Completed
208,94,P0662,2023-01-18,2,212.93,425.86,PayPal,0.0,34.07,Completed
209,462,P0634,2024-05-13,2,1287.55,2575.09,Debit Card,0.0,206.01,Completed
210,11,P0206,2024-06-23,3,162.58,487.73,PayPal,0.0,39.02,Completed
211,412,P0664,2024-01-17,4,1973.18,7892.72,Credit Card,0.0,631.42,Completed
212,195,P0330,2023-01-19,4,1419.18,5676.74,Debit Card,0.0,454.14,Completed
213,246,P0897,2023-05-21,2,93.18,186.35,Cash,0.15,14.91,Completed
214,413,P0295,2023-11-13,4,1961.85,7847.4,Credit Card,0.0,627.79,Completed
215,451,P0007,2023-11-01,2,1040.22,2080.44,Credit Card,0.0,166.44,Completed
216,25,P0251,2023-06-20,1,845.83,845.83,PayPal,0.1,67.67,Completed
217,144,P0025,2024-01-15,2,1460.72,2921.43,Credit Card,0.0,233.71,Completed
218,336,P0425,2024-08-20,3,298.4,895.21,PayPal,0.0,71.62,Completed
219,147,P0962,2023-12-05,1,1770.99,1770.99,Credit Card,0.0,141.68,Completed
220,232,P0658,2023-02-26,3,597.72,1793.16,Cash,0.0,143.45,Completed
221,239,P0185,2024-12-16,4,1937.73,7750.91,Credit Card,0.0,620.07,Failed
222,322,P0333,2023-03-23,1,1978.97,1978.97,Credit Card,0.0,158.32,Completed
223,339,P0003,2023-11-19,2,1472.01,2944.02,PayPal,0.05,235.52,Completed
224,60,P0884,2024-05-21,3,1330.62,3991.87,PayPal,0.05,319.35,Completed
225,256,P0561,2023-03-03,1,60.36,60.36,Credit Card,0.1,4.83,Completed
226,409,P0932,2023-02-17,4,880.84,3523.35,Cash,0.0,281.87,Completed
227,314,P0500,2024-04-24,1,78.53,78.53,Cash,0.0,6.28,Completed
228,92,P0265,2024-08-05,3,1786.3,5358.9,Credit Card,0.05,428.71,Completed
229,346,P0804,2024-07-29,2,1178.67,2357.35,Debit Card,0.05,188.59,Completed
230,269,P0267,2024-03-20,2,803.11,1606.23,Credit Card,0.0,128.5,Completed
231,94,P0734,2024-01-21,4,1462.47,5849.89,Cash,0.05,467.99,Completed
232,178,P0396,2024-05-28,3,1652.57,4957.71,Cash,0.05,396.62,Completed
233,294,P0505,2023-03-03,3,1291.69,3875.06,Credit Card,0.05,310.0,Completed
234,480,P0156,2024-11-15,1,1404.55,1404.55,Cash,0.0,112.36,Completed
235,487,P0437,2024-08-08,3,1652.21,4956.64,PayPal,0.0,396.53,Completed
236,357,P0340,2023-12-06,4,343.69,1374.74,Credit Card,0.0,109.98,Completed
237,381,P0405,2023-03-11,4,524.62,2098.49,Cash,0.0,167.88,Completed
238,390,P0217,2024-11-18,4,442.08,1768.31,PayPal,0.0,141.46,Pending
239,77,P0230,2023-04-14,2,1697.5,3395.0,Debit Card,0.0,271.6,Completed
240,176,P0027,2024-07-03,4,1811.03,7244.13,PayPal,0.15,579.53,Completed
241,451,P0365,2024-04-02,3,520.92,1562.75,Credit Card,0.0,125.02,Completed
242,187,P0917,2024-04-03,3,841.72,2525.17,Cash,0.0,202.01,Completed
243,166,P0415,2024-08-20,2,1837.38,3674.75,Cash,0.05,293.98,Completed
244,256,P0235,2023-07-26,2,1148.62,2297.24,Credit Card,0.05,183.78,Completed
245,25,P0068,2023-12-05,1,1294.73,1294.73,Debit Card,0.05,103.58,Completed
246,276,P0048,2024-10-26,3,1743.4,5230.2,Debit Card,0.0,418.42,Completed
247,191,P0315,2024-12-09,1,1991.48,1991.48,Cash,0.2,159.32,Completed
248,468,P0678,2023-06-19,1,1032.81,1032.81,Credit Card,0.15,82.62,Completed
249,182,P0722,2024-07-20,4,1886.3,7545.2,Credit Card,0.0,603.62,Completed
250,345,P0182,2024-07-24,2,1131.64,2263.28,PayPal,0.05,181.06,Completed
251,104,P0972,2024-10-16,2,937.59,1875.17,Credit Card,0.05,150.01,Pending
252,404,P0434,2024-03-09,4,98.68,394.74,PayPal,0.0,31.58,Completed
253,20,P0222,2023-04-28,2,1095.07,2190.15,Debit Card,0.0,175.21,Completed
254,26,P0587,2024-03-13,4,235.07,940.29,Cash,0.0,75.22,Completed
255,474,P0926,2023-10-23,1,1233.35,1233.35,Cash,0.1,98.67,Completed
256,464,P0045,2024-06-02,3,1777.88,5333.65,Credit Card,0.0,426.69,Completed
257,73,P0931,2023-09-13,3,108.55,325.65,PayPal,0.1,26.05,Completed
258,207,P0607,2023-09-21,1,171.67,171.67,PayPal,0.0,13.73,Completed
259,433,P0785,2023-09-25,4,1789.19,7156.77,Debit Card,0.0,572.54,Completed
260,364,P0570,2023-03-12,2,976.15,1952.31,Cash,0.0,156.18,Completed
261,271,P0485,2024-07-17,4,1947.5,7790.0,Cash,0.1,623.2,Completed
262,56,P0919,2023-08-24,4,454.18,1816.73,Credit Card,0.05,145.34,Completed
263,138,P0039,2023-03-01,4,742.87,2971.49,Cash,0.05,237.72,Failed
264,4,P0223,2023-03-27,2,718.16,1436.32,PayPal,0.1,114.91,Completed
265,31,P0375,2024-10-03,3,1148.65,3445.94,Credit Card,0.1,275.68,Completed
266,424,P0128,2023-09-23,2,657.8,1315.59,Cash,0.0,105.25,Completed
267,65,P0247,2023-05-25,3,647.6,1942.81,Debit Card,0.1,155.42,Completed
268,265,P0790,2023-08-14,1,726.77,726.77,Cash,0.0,58.14,Completed
269,106,P0271,2024-02-03,3,1099.14,3297.43,Credit Card,0.1,263.79,Completed
270,148,P0218,2023-02-09,3,1069.38,3208.15,Credit Card,0.0,256.65,Completed
271,38,P0211,2024-03-03,4,754.74,3018.95,Debit Card,0.1,241.52,Completed
272,187,P0345,2024-12-08,4,295.7,1182.82,Credit Card,0.0,94.63,Completed
273,467,P0589,2024-01-25,1,1050.15,1050.15,Debit Card,0.1,84.01,Completed
274,72,P0793,2024-07-04,1,1340.25,1340.25,Debit Card,0.0,107.22,Completed
275,222,P0451,2023-02-22,4,1006.99,4027.97,Cash,0.0,322.24,Completed
276,200,P0247,2024-02-26,4,773.78,3095.12,Cash,0.1,247.61,Completed
277,256,P0699,2024-01-22,4,1135.73,4542.92,PayPal,0.1,363.43,Completed
278,345,P0127,2023-11-04,1,542.66,542.66,Cash,0.0,43.41,Completed
279,388,P0525,2024-02-10,1,1747.8,1747.8,Cash,0.1,139.82,Completed
280,438,P0932,2023-12-03,1,1130.96,1130.96,Cash,0.0,90.48,Completed
281,279,P0686,2023-04-19,4,454.7,1818.82,PayPal,0.0,145.51,Completed
282,497,P0156,2023-08-17,1,1419.85,1419.85,Debit Card,0.05,113.59,Completed
283,359,P0013,2023-10-13,4,782.82,3131.28,Debit Card,0.05,250.5,Completed
284,149,P0624,2024-08-28,3,1310.87,3932.61,PayPal,0.0,314.61,Pending
285,364,P0479,2024-12-14,1,147.97,147.97,Credit Card,0.0,11.84,Completed
286,182,P0367,2024-10-10,1,1602.21,1602.21,Cash,0.1,128.18,Completed
287,481,P0237,2023-05-20,2,1834.18,3668.37,PayPal,0.0,293.47,Completed
288,107,P0232,2023-11-17,2,814.58,1629.16,PayPal,0.1,130.33,Completed
289,416,P0506,2024-04-25,1,1720.16,1720.16,Cash,0.1,137.61,Completed
290,421,P0493,2024-09-05,4,890.67,3562.68,Credit Card,0.0,285.01,Completed
291,344,P0817,2023-05-19,1,1924.91,1924.91,PayPal,0.05,153.99,Completed
292,6,P0147,2023-09-30,4,669.22,2676.89,PayPal,0.1,214.15,Completed
293,68,P0726,2023-09-01,2,1830.22,3660.43,Credit Card,0.0,292.83,Completed
294,465,P0105,2023-10-15,4,1264.24,5056.98,Debit Card,0.2,404.56,Completed
295,284,P0897,2024-11-26,2,719.6,1439.21,PayPal,0.1,115.14,Failed
296,208,P0370,2024-04-16,4,437.06,1748.23,PayPal,0.0,139.86,Completed
297,287,P0472,2024-08-10,3,1937.75,5813.25,Debit Card,0.0,465.06,Completed
298,118,P0073,2024-05-24,2,1312.66,2625.31,PayPal,0.0,210.03,Pending
299,195,P0954,2023-01-05,3,158.43,475.29,Cash,0.0,38.02,Completed
300,282,P0687,2024-07-09,2,1719.46,3438.92,Cash,0.0,275.11,Pending
301,176,P0183,2023-03-28,4,579.68,2318.74,Debit Card,0.0,185.5,Pending
302,473,P0852,2023-05-29,1,1653.86,1653.86,Credit Card,0.0,132.31,Completed
303,253,P0143,2023-10-21,2,634.89,1269.77,Debit Card,0.0,101.58,Completed
304,113,P0875,2023-03-11,4,474.92,1899.69,PayPal,0.0,151.98,Pending
305,360,P0663,2024-12-26,4,1801.85,7207.41,Credit Card,0.0,576.59,Pending
306,203,P0573,2024-12-12,4,253.69,1014.75,PayPal,0.0,81.18,Completed
307,237,P0870,2024-03-18,1,491.24,491.24,Debit Card,0.1,39.3,Completed
308,307,P0030,2024-11-30,3,1087.97,3263.91,Debit Card,0.0,261.11,Completed
309,381,P0438,2024-03-20,4,1967.96,7871.82,PayPal,0.0,629.75,Completed
310,495,P0674,2024-11-26,3,275.62,826.85,Credit Card,0.0,66.15,Completed
311,101,P0111,2024-07-05,1,543.07,543.07,Debit Card,0.0,43.45,Completed
312,209,P0022,2023-12-01,2,1796.97,3593.95,Debit Card,0.1,287.52,Completed
313,90,P0653,2024-06-12,1,1677.45,1677.45,Credit Card,0.0,134.2,Completed
314,14,P0239,2024-01-01,4,1626.39,6505.56,PayPal,0.1,520.45,Completed
315,245,P0675,2024-02-19,4,281.36,1125.42,Credit Card,0.15,90.03,Completed
316,303,P0005,2023-01-26,2,845.11,1690.22,Cash,0.0,135.22,Completed
317,273,P0249,2024-01-23,2,1697.48,3394.96,Cash,0.0,271.6,Completed
